isim,cinsiyet,yas,boy,kilo,takim,uok,yil,sezon,sehir,spor,etkinlik,madalya
Jeremy Abbott,M,28.0,175.0,70.0,United States,USA,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
Margaret Ives Abbott (-Dunne),F,23.0,168.73333333333332,63.43636363636364,United States,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
Monica Cecilia Abbott,F,23.0,191.0,88.0,United States,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,United States,USA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Reema Abdo,F,21.0,173.0,59.0,Canada,CAN,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Lala Abdul Rashid,M,38.0,169.0,91.0,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Muhammad Abdul Rashid,M,23.0,181.0,72.0,Pakistan,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Soviet Union,URS,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,Uzbekistan,UZB,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Azerbaijan,AZE,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,Azerbaijan,AZE,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,United States,USA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
Yusup Abdusalomov,M,30.0,170.0,84.0,Tajikistan,TJK,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Unified Team,EUN,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
Masashi Abe,M,28.0,175.0,64.0,Japan,JPN,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
"Max ""Xam"" Abegglen",M,22.0,177.4803386127799,73.08664412510566,Switzerland,SUI,1924,Summer,Paris,Football,Football Men's Football,Silver
Clarence John Abel,M,23.0,185.0,102.0,United States,USA,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
George Gordon Abel,M,35.0,180.99144412756027,83.77559260224017,Canada,CAN,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
Egil Sten Abel,M,20.0,175.33896987366376,70.70239290053351,Fornebo,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
Abelardo Fernndez Antua,M,22.0,177.4803386127799,73.08664412510566,Spain,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
"Louis Grenville ""Lou"" Abell",M,15.0,187.38357094365242,84.17521652231845,Vesper Boat Club,USA,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
"Louis Grenville ""Lou"" Abell",M,19.0,187.38357094365242,84.17521652231845,Vesper Boat Club,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,ETH,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
Nils Georg berg,M,19.0,181.0,78.0,Sweden,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
Nils Georg berg,M,19.0,181.0,78.0,Sweden,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
Michael Brent Abernathy,M,22.0,182.0,84.0,United States,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
